file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,5
style.css,2,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,1,23
style.css,3,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,0
style.css,4,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,0
style.css,5,css,41d4b30f,Anisha Kalgi,2026-04-03,19:07:59,-07:00,2026-04-03T19:07:59-07:00,0,4
style.css,6,css,41d4b30f,Anisha Kalgi,2026-04-03,19:07:59,-07:00,2026-04-03T19:07:59-07:00,1,23
style.css,7,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,13
style.css,8,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,15
style.css,9,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,42
style.css,10,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,11,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,12,css,3ace4987,Anisha Kalgi,2026-04-25,17:25:12,-07:00,2026-04-25T17:25:12-07:00,0,3
style.css,13,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,1,39
style.css,14,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,1,12
style.css,15,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,1,17
style.css,16,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,1,43
style.css,17,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,18,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,19,css,3ace4987,Anisha Kalgi,2026-04-25,17:25:12,-07:00,2026-04-25T17:25:12-07:00,0,5
style.css,20,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,6
style.css,21,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,17
style.css,22,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,20
style.css,23,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,13
style.css,24,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,13
style.css,25,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,26,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,27,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,13
style.css,28,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,16
style.css,29,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,25
style.css,30,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,43
style.css,31,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,20
style.css,32,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,26
style.css,33,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,34,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,35,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,11
style.css,36,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,1,69
style.css,37,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,0
style.css,38,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,0
style.css,39,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,4
style.css,40,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,7
style.css,41,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,5
style.css,42,css,f5004f94,Anisha Kalgi,2026-04-17,19:40:25,-07:00,2026-04-17T19:40:25-07:00,0,6
style.css,43,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,12
style.css,44,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,45,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,46,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,4
style.css,47,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,8
style.css,48,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,21
style.css,49,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,50,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
style.css,51,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,4
style.css,52,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,12
style.css,53,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,30
style.css,54,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,1,7
style.css,55,css,b0734d14,Anisha Kalgi,2026-04-10,19:42:44,-07:00,2026-04-10T19:42:44-07:00,0,0
